keyword,source,industry,anchor,n_weeks,mean_norm,peak_week,peak_norm,halflife_days_weekly,expected_halflife_days
광주 김밥,label_region,스넥,쿠팡>분식,350,5e-05,2022-08-22,0.00011,77,
광주 두바이 초콜릿,label_region,편의점,쿠팡>편의점,94,0.00024,2024-07-08,0.00202,42,
광주 두쫀쿠,label_region,제과점,쿠팡>빵집,43,0.00048,2026-01-12,0.00366,14,
광주 떡볶이,label_region,스넥,쿠팡>분식,350,8e-05,2023-01-23,0.00018,105,
광주 라면,label_region,편의점,쿠팡>편의점,295,1e-05,2021-09-20,3e-05,7,
광주 마라탕,label_region,중국음식,쿠팡>중식,350,0.0001,2020-01-06,0.00043,28,
광주 비빔밥,demo_region,한정식,쿠팡>한정식,350,3e-05,2026-01-19,0.00022,7,
광주 삼겹살,label_region,갈비전문점,쿠팡>고기집,350,0.00018,2024-02-26,0.0004,56,
광주 소금빵,label_region,제과점,쿠팡>빵집,296,9e-05,2022-01-03,0.00051,7,
광주 오마카세,label_region,일식회집,쿠팡>스시,350,0.00088,2022-12-19,0.00289,70,
광주 우유,label_region,슈퍼마켓,쿠팡>마트,335,1e-05,2023-11-13,4e-05,7,
광주 짜장면,label_region,중국음식,쿠팡>중식,350,3e-05,2026-03-30,9e-05,14,
광주 치킨,label_region,일반한식,쿠팡>맛집,350,9e-05,2026-03-02,0.00048,7,
광주 크로플,label_region,제과점,쿠팡>빵집,310,5e-05,2020-08-03,0.00039,49,
광주 탕후루,label_region,스넥,쿠팡>분식,338,4e-05,2023-07-17,0.00049,56,
김밥,label,스넥,쿠팡,350,0.02217,2025-10-06,0.0353,336,
대구 김밥,label_region,스넥,쿠팡>분식,350,0.0001,2020-12-14,0.00043,7,
대구 두바이 초콜릿,label_region,편의점,쿠팡>편의점,96,0.0004,2024-07-08,0.0041,21,
대구 두쫀쿠,label_region,제과점,쿠팡>빵집,43,0.00063,2026-01-12,0.00459,21,
대구 떡볶이,label_region,스넥,쿠팡>분식,350,0.00043,2024-04-29,0.0017,35,
대구 라면,label_region,편의점,쿠팡>편의점,345,2e-05,2020-02-17,0.00036,14,
대구 마라탕,label_region,중국음식,쿠팡>중식,350,0.00012,2020-01-06,0.00063,35,
대구 비빔밥,demo_region,한정식,쿠팡>한정식,350,4e-05,2021-08-02,9e-05,63,
대구 삼겹살,label_region,갈비전문점,쿠팡>고기집,350,0.0003,2025-03-24,0.00084,7,
대구 소금빵,label_region,제과점,쿠팡>빵집,316,0.00013,2022-12-05,0.00064,7,
대구 오마카세,label_region,일식회집,쿠팡>스시,350,0.00152,2024-03-04,0.00578,7,
대구 우유,label_region,슈퍼마켓,쿠팡>마트,350,4e-05,2020-03-02,0.00011,7,
대구 짜장면,label_region,중국음식,쿠팡>중식,350,4e-05,2023-03-06,0.00019,14,
대구 치킨,label_region,일반한식,쿠팡>맛집,350,0.00017,2024-06-17,0.00045,7,
대구 크로플,label_region,제과점,쿠팡>빵집,297,8e-05,2020-07-27,0.00073,49,
대구 탕후루,label_region,스넥,쿠팡>분식,347,6e-05,2023-08-14,0.00072,49,
대전 김밥,label_region,스넥,쿠팡>분식,350,0.00011,2023-09-04,0.00363,7,
대전 두바이 초콜릿,label_region,편의점,쿠팡>편의점,98,0.00034,2024-07-08,0.00363,21,
대전 두쫀쿠,label_region,제과점,쿠팡>빵집,45,0.00066,2026-01-12,0.00493,21,
대전 떡볶이,label_region,스넥,쿠팡>분식,350,0.00034,2024-08-19,0.00058,105,
대전 라면,label_region,편의점,쿠팡>편의점,346,2e-05,2025-06-09,0.00036,21,
대전 마라탕,label_region,중국음식,쿠팡>중식,350,0.00014,2020-01-06,0.00064,28,
대전 비빔밥,demo_region,한정식,쿠팡>한정식,350,6e-05,2025-02-10,0.00141,14,
대전 삼겹살,label_region,갈비전문점,쿠팡>고기집,350,0.00026,2025-03-17,0.00093,14,
대전 소금빵,label_region,제과점,쿠팡>빵집,296,0.00014,2025-01-20,0.00389,7,
대전 오마카세,label_region,일식회집,쿠팡>스시,350,0.00105,2022-12-19,0.00322,77,
대전 우유,label_region,슈퍼마켓,쿠팡>마트,320,1e-05,2024-05-06,4e-05,7,
대전 짜장면,label_region,중국음식,쿠팡>중식,350,5e-05,2023-06-05,0.00019,7,
대전 치킨,label_region,일반한식,쿠팡>맛집,350,0.00013,2026-06-01,0.00027,91,
대전 크로플,label_region,제과점,쿠팡>빵집,328,6e-05,2020-08-03,0.00052,49,
대전 탕후루,label_region,스넥,쿠팡>분식,345,5e-05,2023-08-14,0.00049,35,
두바이 초콜릿,label,편의점,쿠팡,278,0.00922,2024-07-08,0.23849,21,13.0
두쫀쿠,label,제과점,쿠팡,54,0.02842,2026-01-12,0.24232,21,17.0
떡볶이,label,스넥,쿠팡,350,0.01748,2022-08-29,0.03208,651,
라면,label,편의점,쿠팡,350,0.00647,2020-02-24,0.04589,7,
마라탕,label,중국음식,쿠팡,350,0.02311,2023-01-23,0.03998,630,
부산 김밥,label_region,스넥,쿠팡>분식,350,0.0001,2021-01-18,0.00064,7,
부산 두바이 초콜릿,label_region,편의점,쿠팡>편의점,98,0.00037,2024-06-03,0.00407,49,
부산 두쫀쿠,label_region,제과점,쿠팡>빵집,43,0.00047,2026-01-12,0.00319,21,
부산 떡볶이,label_region,스넥,쿠팡>분식,350,0.00083,2020-06-08,0.00299,7,
부산 라면,label_region,편의점,쿠팡>편의점,350,5e-05,2020-03-02,0.00154,7,
부산 마라탕,label_region,중국음식,쿠팡>중식,350,9e-05,2020-01-06,0.00047,35,
부산 비빔밥,demo_region,한정식,쿠팡>한정식,350,3e-05,2025-06-23,0.00013,7,
